,0
91,"Been hearing about this game for a long time but never really gave it a shot. So far the game-play feels so good in which I can see my self playing this game for hours. Team work is a must and i really haven't came across with toxic player (so far)
"
92,.
93,gg
94,Nice game i love it
95,"daygdygadyuigyadgywdaggdawydggyawdyigdwiawdgiydgwd
"
96,top
97,very fun
98,"In this game, i really love them
i play this game when it was CSO
In game, it have too much a hacker and smurf
It must be fixed 
I was spend too much money and time in this game
but all i was receive: 
1/ Toxic
2/ Lost money ( Open case ) and never get the knife (385 case)
3/ Disappointed Gaben spent too muck time for DOTA 2 but not CSGO
4/ Trash hacker
5/ High ping sever
6/ Where is Dragon Lore ?
7/ When i have the knife open by me ?
8/ up rank pls, im always Nova
9/....  More and more  
"
99,"Funny game csgo but only with prime

if not you play with hackers soo"
100,add sex
101,nice
102,stupid monkey stole my avepe and i kill him and he s stupid black monkey that stole my aveep and i got banned for 2 hours bcz of a monkey stupiid monkey sukin dik
103,"N
A
I
S"
104,fun
105,SHIT GAME
106,Free Russian Lessons. Also Buy Prime To Actually Enjoy The Game.
107,Best game
108,Best Game
109,;0
110,yes
111,Sick game :)
112,<3
113,🗿🗿🗿🗿🗿🗿 cs_agency 🗿🗿🗿🗿🗿🗿
114,grejt
115,mjau
116,a
117,GUNS GO PEPEPEPEPEPEPEPEWWWW
118,"old but gold, at times"
119,if my game crashes one more time
120,"good
"
121,"The game is just a bomb, if more cheaters were banned immediately, then there would be no price at all"
122,cool
123,.
124,gg
125,SSADASDSA
126,very gud but mani hak
127,good game ruined by cheaters.
128,"The time I spent playing this game could've been spent...
...studying
...getting a gf
...spending time with my family
...working out

After 1000+ hrs i gain...

...free Russian (not only)  lessons
...anger management issues
...a dead soul
...an extremely racist and homophobic vocabulary
...gambling addiction 
...a collection of punches on my desk 
...depression 

overall a great game to destroy your life i would never delete this game to correct my miserable life but i stand by my own choices 10/10  
"
129,Great game
130,alright
131,"Fun daca stai bine cu nervi daca nu, nu e de tn:)))"
132,BEST GAME BLYAT
133,"To all players with or without prime, 1st, 2nd, 3rd class citizens. In writing this statement of intent, I would like to represent the non-prime players who have been pushed to the margins of society in the past time.
Given that we were all born and raised on the same planet, we are all the same. Do you remember the good old days when Prime was not a thing? Stack-5 days without leaving your non-prime bro behind? Do you remember the times when you screamed in the cyber cafés after a 1v5 clutch? Or those days nade stacking against cheaters with the bros?
Alas, Valve is like a demon, for his sake he divided us. The teammates were suddenly divided high-class and low-class citizens, not because of their ranks but because of Prime. There were parents who have lost their children, women who have lost their husbands, and friends who are no longer pals, all because of Prime. There were people who even wanted to k!ll themselves when there was only 1 match away from lvl 21, right in front of heaven's gate. There were youngsters who were trying hard, suddenly lost in life. There were also young merchants who suddenly lost their daily bread. Some could not bear the pressure and had to leave, forever.
I decided today I wanted to take the power back. I had a revelation that I had to be empowered to be a non-primer today more than ever. Non-primers are also human beings. Non-primers have the right to be loved, to be treated with dignity and respect. On behalf of the non-prime community, please grant that right to us!"
134,good!
135,8/10 ranking is only one thing that disqust me
136,"If you want to your hair fall down, play this game"
137,REMOVE CHEAT PLEASE!!!!!
138,i want to kill my self
139,"⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠈⣿⣿
⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⢸⣿
⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿
⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿
⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿
⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼
⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼
⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿
⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿
⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿⣿⣿
⣿⣿⣿⡀⢠⣾⣿⠏⠀⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠉⠀⣿⣿⣿⣿
⣿⣿⣿⣧⠈⢹⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿
⣿⣿⣿⣿⡄⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣾⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣦⣄⣀⣀⣀⣀⠀⠀⠀⠀⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠙⣿⣿⡟⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠁⠀⠀⠹⣿⠃⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢐⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠛⠉⠉⠁⠀⢻⣿⡇⠀⠀⠀⠀⠀⠀⢀⠈⣿⣿⡿⠉⠛⠛⠛⠉⠉
⣿⡿⠋⠁⠀⠀⢀⣀⣠⡴⣸⣿⣇⡄⠀⠀⠀⠀⢀⡿⠄⠙⠛⠀⣀⣠⣤⣤⠄
"
140,very yes
141,.
142,absolute cancer
143,awesome game
144,good
145,l
146,nice game
147,good but its hard at the begining
148,Good shooter. Fps can be a bit annoying but that is probably just my computer. over all great game.
149,"Reasons why I don't recommend this game:
1. Kids speaking russian ( I understand it but you might not ) 
2. One of your team will troll or disconnect and if it's not from your team it will be from the enemy team.
3. Mic abuse 
4. Look up 2. again. 
5. All games you either stomp or the enemy stomps you 
6. If it isn't a stomp it will be a 14:16 or 7:9 game which feels bad too
7. Look up 4. 
8. If you lose 1 game you are likely to demote, if you win 4-5 in a row you don't move up. Hidden Elo so you don't know how close to demotion you are. 
9. Look up 7. 
The only good reason to play this is for CS 1.6 / CSS Nostalgia"
150,ádasd
151,shit game
152,very not fun dont play :)
153,"hackerer
"
154,MadisTaMunni
155,its very gud
156,nice
157,yes
158,Funnest game I've played in a while!
159,"Toxic af but its fun
"
160,"Terrible matchmaking, Games been out for years and im getting people who havent played

The enemy team has 14000 hours...."
161,Def can be fun but a sweaty community awaits you when u start playing
162,"CSGO is the pinnacle of gaming. It is the game you have to play atleast once in your life. Originated as simply counter strike, CSGO is the upgrade which somehow still relevant even after 10 years and still have a lot more to give us too. Cant wait for source 2"
163,"1
1
1
1
1

1"
164,noice
165,peepee poopoooo
166,Very Fun game!
167,too many hackers and cheaters there isnt a fair fight...
168,you love or hate it some days but its a great time
169,Veryyyyyyyyyyyyyyyyyyyyyyyyyyyyyy good game <3
170,a
171,nice but to many russian guys
172,"if u want to play cs, get friends. if you go play solo mm you're just gonna want to kill yourself"
173,помогите
174,"i like the way this game works, but i hate the lack of banning cheaters."
175,"best game
"
176,nice baby
177,Хуета для пробитых пидорасов
178,.
179,fafafaf
180,nice
181,.
182,VERY nais
183,"i recomanded to play this game if u are nervous
u will meet with bad russian kids
"
184,shit game
185,Most of the 'pro players' in this game are found hacking......
186,tak
187,А funny game
188,nice
189,its good
190,un joc foarete frumos nu ne mai jucam
191,so much crying babies
192,Best fps game in the world❤️
193,A really great game
194,its cs
195,"Chess is dead

Chess hasn't been updated in almost 200 years and it's obvious the devs have abandoned it. The greedy creators took your money and laughed all the way to the bank.

I remember back in 705 AD when chess was fun. Then they started adding stupid features no one wanted like ""Castling"" and ""En Passant"" instead of listening to player feedback and fixing game-breaking bugs. I've been complaining for YEARS about the collision-detection glitch with the horsey. The ""clipping-thru-pieces"" bug has been abused to death and the lazy devs refuse to fix it.

Don't support this awful behaviour and boycott this company."
196,best game for shooting
197,(y)
198,im thinking going back to Source
199,"slayed 
"
200,daqui ao cs é um tiro
201,good
202,"bade nazdike 8hezar gameplay tu dota o cs va tajrobe kardane tu owj budano nabudan,2sale pey bordam k kiram tu dota o cs go va harchi hazine babate in 2ta game kardam."
203,good game
204,CSGO
205,pro
206,nice
207,"nashe
"
208,Saw a pixel of someone's head and got awp.
209,nice
210,unranked troll moment
211,gycio gaizausko faivorit gaim :)
212,ggwp
213,yes
214,yes
215,Best game
216,"CS:GO is CS:GO, the best game"
217,g
218,Good game
219,is okay
220,eh
221,very gut gejm
222,Nice
223,the best of the best
224,"loser game
"
225,lol
226,"good game like it was
"
227,gg
228,goog
229,very nice
230,Nah its not worth it. I feel like i haven't got my moneys worth.
231,ahujek
232,game
233,wow love this game so much and love to get 7day bans for 4 weeks straight because you dont speak russian
234,"the best fps game in the world
(not better than cs 1.6)"
235,Very good game if you dont have smurfs and cheaters against you (in your team idc)
236,gutes spiel ab level 30
237,it is a good game but to mutch toxic player
238,good
239,Greatest one !
240,yes
241,yes very goodt
242,good
243,wow
244,i like this game
245,"fuck this
"
246,very good very nice
247,super
248,Мой анус никогда не свисал до пола ранее
249,.
250,A really great free FPS game for the one's new to steam i am damn sure they will enjoy by playing competitively..
251,autoballing
252,"very nice game very good great, give knife pls"
253,"clicking heads = fun
"
254,"who the hell have done the who
what"
255,brood
256,Its ok
257,this is a very good game and allways have been
258,"This is a bad game


PS: dont look at the time played"
259,p
260,f
261,"UNINSTALLING VALORANT
▇▇▇▇▇▇▇▇▇▇▇▇▇▇▢
　　╭━╮╭━╮╭╮　╱ 　　
　　╰━┫╰━┫╰╯╱╭╮ 　　
　　╰━╯╰━╯　╱　╰╯ 　　　　　
　　　 COMPLETE"
262,Cool
263,"instructions unclear, penis stuck in toaster"
264,only gay ppl play this game
265,Kurva skvela hra uwu (ondro je emo)
266,GOOD
267,game giood game good
268,its very funny to play this game
269,will drain your life
270,gg
271,fun game
272,funny game
273,BAD
274,10k h still full of cheats
275,Best shooter ever!
276,hao han
277,i love CSGO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Lets trot
278,Best FPS ever and ever
279,"nice  game
"
280,"The best there was, the best there is, the best there will be."
281,h
282,funy
283,its ag good game but you will rage quit a lot
284,hyvä
285,like that
286,my friend showed me his skins and i immediately fell in love and got addicted to buying skins 10/10 gamble simulator
287,Thanks for the rank reset volvo
288,v good
289,Not bad game +++++
290,"optimized and enjoyable
"
291,gun. i like
292,Will do for a couple of evenings
293,very very
294,nias fps game boom boom
295,iha ok
296,green? what is your problem bro
297,bhop fun :)
298,"I'm not one to leave a review for many games, but Counter-Strike: Global Offensive is one of the most surreal ""experiences"" of my entire career. I have met a wide range of people, from actual NPC's whom I cannot control by pressing e while spectating, to Canadians playing on the same NA servers cursing me out in French while getting spitroasted in mid. I have developed a gambling addiction which is not even fueled by my wallet, but my friends who has gotten a second-hand addiction through watching. I have to continue fueling the addiction every week or else the e-devil will burst out through my floorboards and force me to actually play the game with the people you find while solo queuing instead of just gambling for 60% of the hours you spend on this fucking application.  
You always think that the crate isn't worth opening until you realize that you only have to spend $5 to open, and you think about hitting big profit on the market and how worth it will be. Then since you spent $5 you might as well open 2 crates to double your odds right? Wrong. The odds of pulling a profitable skin out of crates is less than you discovering actual Spanish gold and being set for life without touching the steam marketplace. It is 99.25% of you pulling a skin that costs from .03 cents to around $2.30, which isn't even enough to pay off the key price. 
I hope whoever plays this game doesn't develop a crippling gambling addiction and focuses more of their hours off the marketplace and on the recoil patterns. :)"
299,very good
300,Super game 0/10
301,"siuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
"
302,more ppl cheating here then im on my Gf tf?!
303,gg wp bro
304,EEEEEEEEEEEEEEEEEEEEEE
305,its better past
306,"GOOD 
"
307,gooooooooooddddddddddddddd
308,Lorem ipsum
309,My favorite game)
310,i fkin hate dis shit
311,ok
312,"When people say this game is bad...
I'm Globally offended."
313,"LOVE IT
"
314,"not the best player, but i can say this, its more fun to play the game than it is to casually play it"
315,If you dont like CSGO then you are bad at video games
316,"This game gave me a lot of things,

crippling depression 

A major gambling addiction

And a hatred for the human race.

Other then all that 10/10"
317,Realistic
318,e
319,Good game very good would recommend. GOOD GAME YES
320,good\
321,Must have just stop looking at reviews and GET IT
322,Naise
323,Give skins pls
324,"BRUHHH , A LOT OF PRO!"
325,gg
326,monkey
327,toxic shithole but high skill ceiling keeps u going mb ?!
328,its good
329,Good
330,trash
331,nice men
332,veri gud
333,"best fps game ive ever played
"
334,Clarity
335,"its good
"
336,mid
337,"Not as good as the 1.6 days.,"
338,"kinda mid ngl, maybe 10 or so hours worth of gameplay"
339,Masochism at it's finest.
340,"gopod ga,me"
341,good game
342,burn out for the mousepad
343,laalaalaa
344,"this game fucking sucks, i lost my house expecting to get knives in cases. Instead, i get called the n word for having a battle scarred AK safari mesh

i hate this game"
345,"Fun when you're first starting out, stressful and triggering at higher ranks but satisfying nonetheless."
346,good game
347,no
348,"Good
"
349,gaming
350,It's a really nice game
351,gay
352,mmmm csgo
353,"good
"
354,bueno 👍
355,COOL
356,strong 2/10
357,This game is fun. Fuck valorant
358,"60% Pain
20% Toxic
10% Hacker
5% griefing
5% Happiness"
359,too toxic
360,Russians.
361,on dat awp shit
362,skdfY
363,this game makes me think of gay porn
364,good gun sex
365,"lots of racism...

Highly recommended!"
366,play this game if you hate valorant <3
367,smashed multiple keyboards and my parents left me by myself at 13. Great game
368,I love this game but I keep getting 21 hour of cool down for no reason so I cant play ranked its mega annoying plz tell me why
369,It's my favorite game
370,best game ever no cap
371,it gud
372,Great game.
373,play something else
374,good game click heads and then ddos your teammates from your grandmas basement
375,solid
376,c
377,it's cs brother
378,mid
379,.
380,Love it
381,please invite me to gamesense
382,Boobies
383,It's pretty cool :)
384,Sooka blyat game
385,Real
386,"Fun, strategic and tactical game in competitive mode."
387,peepeepoopoo
388,"VERY GOOD GAME
"
389,Excellent tactical first-person game. Convivial interface and lots of game modes to play.
390,"""ctm_fbi"" Most Attractive"
391,game nhu l
392,NICE
393,"+ it's counter-strike
+ cool skins
+ active community
+ de_dust2
- old game
- sh1tty lootboxes
- toxic players"
394,Valorant but good(no shitty anti-cheat)
395,game for middle schoolers
396,"ball
"
397,it fun
398,I spent 401 hours on this game now and I came to the conclution that I could have finished my university in this time. The amount of cancer this game gave me I will say its not worth playing. Please help me if anybody can cos I have been held up by valve to play this fucking piece of shit game
399,TYGFVHJ NFCGVB
400,"I've wasted my life playing this game, no regrets."
401,muist
402,love it
403,no dont play to many hackers
404,Made me ruin my sleep schedule
405,00
406,"Get this classic game!  It's a little weird at first if you're used to modern FPS games, but there's a reason people still play it...It's great."
407,its ight
408,"everythimg
"
409,"got placed silver, game is bugged should have gotten global"
410,Drop kicking Wheelchair Bound people
411,Really really fun to play. May be an older game but it is still by far one of the best ones out there.
412,":)
"
413,Just a good competitive time
414,good game ngl
415,good
416,GoblinDotCom
417,"Cool game, good mechanics, solid 10/10, even though there are alot of cheaters."
418,VERY FUN GAME
419,i fucking hate this game I don't recommend shitty ass game.
420,gun
421,"it fun
"
422,"gud
"
423,This peice of shit game is homiphobic towards me and I'm apparently vac banned or something idk
424,Pew Pew
425,"full of cheaters, better off playing valorant, less cheaters and its free"
426,haha funny go go die
427,csgo is fun
428,full russians
429,"Still the best 5v5 ""tactical"" team shooter, in game servers for multiplayer should be higher tick rate so the need to use a third party to play ranked shouldn't be needed. Other than that the game is very fun and challenging."
430,good game
431,sd
432,I like to buy awp and then afk.
433,What a great game!
434,its one of the games in the world.
435,"Nice comms, my chinese teammates always say ""That"" in chinese"
436,
437,"alus ieu game, pokonamah meledak."
438,"I hate this game, it's terrible.

I'll play it again tomorrow."
439,"1. 6 tablespoons unsalted butter
2. 1/2 cup white sugar
3. 1/2 cup brown sugar
4. 1/4 cup water
5. 1/4 teaspoon cinnamon
6. 1 pinch salt
7. 5 apples - peeled, cored and sliced
8. 1 pastry for double-crust pie

Directions:

1. Preheat oven to 425 degrees F (220 degrees C).
2. Combine butter, white sugar, brown sugar, water, cinnamon, and salt in a saucepan over medium heat. Bring to a boil, remove from heat and set aside.
3. Roll out half the pastry to fit a 9-inch pie plate. Place bottom crust in pie plate; pour in apple slices.
4. Roll out top crust into a 10-inch circle. Cut into 8 (1-inch) wide strips with a sharp paring knife or pastry wheel. Weave the pastry strips, one at a time, into a lattice pattern. Fold the ends of the lattice strips under the edge of the bottom crust and crimp to seal.
5. Pour butter-sugar mixture over top of pie, coating the lattice, and allowing any remaining sauce to drizzle through the crust.
6. Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake until the crust is golden brown, the caramel on the top crust is set, and the apple filling is bubbling, 35 to 40 more minutes. Allow to cool completely before slicing."
440,ak47 lolol
441,dogshit game
442,"its so fun
"
443,Crouch fire = yes
444,iz gud
445,It's aight
446,fun game to play with friends
447,"Eu acho esse jogo poggers, recomendo se vc tem amigos ruins, vc vai se divertir bastante vendo a tela deles."
448,"a good game which can give you a depression if you got smurfs against you. but overall, it's aight. PLAY FACEIT ONLY, MM IS FULL OF SMURF AND CHEATERS"
449,poggy game for gaming frogs
450,Fantastic game with a major toxicity problem<3
451,penis
452,PLAY PLAY PLAY!
453,dognuts
454,e
455,n=beans
456,Quick fun
457,I gun
458,in my training arc
459,It's good I think
460,the beautiful game
461,this game gave me a gambling addiction <3
462,"yeah good game



"
463,Just started playing. I'll update you when my dad returns with the cigarettes
464,it good
465,Good game
466,its a good game for 2012
467,Valve owes me 18 months worth of blood pressure medication.
468,"Do you hate yourself? Do you want to encounter racism like old Call of Duty lobbies in competitive matches?  

You have come to the right place.

Game is kind of fun aside from that though."
469,"best game ever
"
470,"UM. number one game on steam, duh."
471,gaem is gud
472,You will never find a more wretched hive of hackers and wannabe esports players
473,very good very nice
474,Fire...in the hole
475,Rsua
476,most slavic game ever ;D
477,"i like it ;)
"
478,The one and only!
479,Love Hate relation never ends
480,sugma nuts
481,love itg
482,game is fun but unless you like being screamed at by middle aged men or just graduated teenagers sweating on the game so badly their entire house is flooded yelling at each other and you in voice chat because you missed a singular bullet with an automatic
483,good game
484,cyka
485,asd
486,"good
"
487,game
488,Gg
489,Matchmaking is unplayable. Cheaters everywhere. Just go play on faceit.
490,Pay to win Bullshit !!!!
491,noics
492,e
493,Surf and ZE are life
494,5
495,"Pros: 1. fun to let off some steam
         2. beautiful artwork with the gun ""skins"" and tons to choose from! Constantly updated in market!!!
         3. build good articulation in hands for future shooters

Cons: 1. its a video game so there are bound to be a few hackers, don't fret! Just report and move on. they suck anyway since they have to resort to such mediocrity 
          2. toxic environment. cant be helped. Gonna be anywhere on the internet"
496,good.
497,I've played 1800 hours and still either get told I'm hacking or get told how trash I am on the daily. 10/10
498,cool game for cool kids
499,"Good game,my fav one!"
500,midmidmid
501,lol ur bad
502,"plant bomb, bomb go boom 
11/10 - IGN"
503,"good
"
504,dont play mm
505,I wasted so much time on this game and I will continue to waste more.
506,gud
507,Liux game
508,"Awsome game, nice playing with friends."
509,.
510,"UNINSTALLING VALORANT
▇▇▇▇▇▇▇▇▇▇▇▇▇▇▢
　　╭━╮╭━╮╭╮　╱ 　　
　　╰━┫╰━┫╰╯╱╭╮ 　　
　　╰━╯╰━╯　╱　╰╯ 　　　　　
　　　     COMPLETE"
511,it is sooo fun  and many thaings
512,good game.
513,gg
514,CSGO was the first game I liked on Steam 🥲
515,i hate this game. 10/10
516,nice game
517,Enjoyed the game
518,don't think match
519,"very good game
"
520,Very toxic community.There are some coutries that refuse to speak english and communicate.I dont need to tell wich one it is go play 1 game and you'll find it by youself.
521,sad
522,good
523,"wow
"
524,Seems g@y but i like that
525,666
526,"best game
"
527,gooogle det
528,"If you like russians screaming at you, racist people and small children with loud background noices. This game is just what you need, buy prime 2 day."
529,The game is shit but I waste my time with it anyway.
530,Get for just 15min entertainment :)
531,eeee
532,good game :D
533,pro
534,"najveca greska u zivotu
"
535,good
536,Mam problemy z hazardem a ta gra je jeszcze bardziej popędza. Nie mam pieniędzy na koncie ale sprzedaje dom.
537,Yes
538,You can learn new swear words
539,good game u just need practice to get beter
540,"i like
"
541,because i play 49 hours and you ask me do you like it xD?
542,all cheater
543,gud
544,zničilo mi to život
545,זין בעין
546,"good game, more cheaters
"
547,gud
548,llo
549,"very fun, good for beginners and veteran players"
550,Counter my offensive strike globally.
551,Nice
552,is good without hackers
553,nice
554,.
555,good
556,so nice !
557,Yis. Is gud.
558,"Liked It
"
559,sd
560,good
